sector,year,annual_return_pct
Information Technology,2013,9323.58
Financials,2013,4553.97
Communication Services,2013,4516.59
Consumer Discretionary,2013,4461.88
Health Care,2013,4365.9
Industrials,2013,2320.58
Real Estate,2013,1333.65
Consumer Staples,2013,806.61
Materials,2013,767.36
Utilities,2013,744.95
Energy,2013,311.47
Information Technology,2014,7906.88
Consumer Discretionary,2014,5015.88
Communication Services,2014,4188.59
Financials,2014,4078.9
Health Care,2014,3725.42
Materials,2014,1390.04
Industrials,2014,1325.95
Real Estate,2014,1200.56
Utilities,2014,805.79
Consumer Staples,2014,714.87
Energy,2014,335.56
Information Technology,2015,11926.54
Communication Services,2015,6376.02
Consumer Discretionary,2015,6080.54
Materials,2015,4678.43
Health Care,2015,4381.09
Financials,2015,4271.61
Real Estate,2015,1906.45
Industrials,2015,1261.9
Utilities,2015,1203.28
Energy,2015,675.65
Consumer Staples,2015,571.18
Information Technology,2016,10346.67
Materials,2016,8244.92
Communication Services,2016,7935.96
Consumer Discretionary,2016,7459.18
Financials,2016,5527.82
Health Care,2016,3132.61
Real Estate,2016,2937.83
Industrials,2016,1587.74
Utilities,2016,1432.67
Energy,2016,964.25
Consumer Staples,2016,493.76
Consumer Discretionary,2017,11224.15
Communication Services,2017,9182.21
Financials,2017,4159.93
Materials,2017,3596.16
Health Care,2017,3049.5
Information Technology,2017,2819.18
Real Estate,2017,2749.6
Industrials,2017,1759.56
Utilities,2017,1456.7
Consumer Staples,2017,1046.29
Energy,2017,651.67
Consumer Discretionary,2018,14068.85
Communication Services,2018,7401.96
Financials,2018,3963.42
Real Estate,2018,3055.65
Health Care,2018,2638.53
Information Technology,2018,2497.45
Materials,2018,2352.35
Industrials,2018,2296.91
Utilities,2018,1411.64
Consumer Staples,2018,743.22
Energy,2018,694.77
