sector,year,avg_daily_swing
Consumer Discretionary,2013,1.54
Health Care,2013,1.44
Real Estate,2013,1.4
Communication Services,2013,1.28
Materials,2013,1.28
Energy,2013,1.2
Industrials,2013,1.11
Financials,2013,0.91
Information Technology,2013,0.85
Consumer Staples,2013,0.8
Utilities,2013,0.64
Communication Services,2014,1.91
Consumer Discretionary,2014,1.87
Health Care,2014,1.86
Energy,2014,1.51
Materials,2014,1.39
Industrials,2014,1.31
Real Estate,2014,1.24
Information Technology,2014,1.07
Financials,2014,0.97
Consumer Staples,2014,0.83
Utilities,2014,0.74
Communication Services,2015,2.62
Health Care,2015,2.47
Consumer Discretionary,2015,2.33
Materials,2015,1.79
Real Estate,2015,1.77
Energy,2015,1.62
Industrials,2015,1.53
Information Technology,2015,1.33
Financials,2015,1.16
Consumer Staples,2015,1.1
Utilities,2015,0.89
Communication Services,2016,2.74
Consumer Discretionary,2016,2.45
Health Care,2016,2.33
Real Estate,2016,2.08
Materials,2016,1.86
Industrials,2016,1.57
Energy,2016,1.53
Information Technology,2016,1.27
Consumer Staples,2016,1.23
Financials,2016,1.19
Utilities,2016,0.92
Communication Services,2017,2.85
Consumer Discretionary,2017,2.27
Health Care,2017,2.26
Real Estate,2017,1.78
Materials,2017,1.71
Industrials,2017,1.64
Information Technology,2017,1.46
Financials,2017,1.21
Consumer Staples,2017,1.09
Energy,2017,1.07
Utilities,2017,0.74
Communication Services,2018,4.6
Consumer Discretionary,2018,3.8
Health Care,2018,3.62
Industrials,2018,2.84
Materials,2018,2.61
Information Technology,2018,2.39
Real Estate,2018,2.32
Financials,2018,2.06
Consumer Staples,2018,1.63
Energy,2018,1.54
Utilities,2018,1.07
